"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"TP1","1","GND","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP2","1","+5V","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP3","1","+12V","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP4","1","-5V","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP5","1","-12V","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP6","1","+3.3V","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP7","1","PS_ON","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP8","1","PWR_OK","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP9","1","CLK","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP10","1","CLK2","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP11","1","M1","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP12","1","MREQ","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP13","1","IORQ","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP14","1","RD","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP15","1","WR","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP16","1","RFSH","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP17","1","HALT","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP18","1","WAIT","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP19","1","INT","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP20","1","NMI","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP21","1","RESET","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP22","1","BUSRQ","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP23","1","BUSAK","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP24","1","RDY","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP25","1","TX","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP26","1","RX","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP27","1","TX2","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP28","1","RX2","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP29","1","MA15","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP30","1","MA16","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP31","1","MA17","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP32","1","MA18","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP33","1","SEL_ROM","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP34","1","SEL_RAM","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP35","1","SEL_SIO","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP36","1","SEL_CTC","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP37","1","SEL_PIO","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP38","1","SEL_DMA","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP39","1","SEL_RTC","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP40","1","SEL_FPU","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP41","1","SEL_FDC","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP42","1","SEL_IDE","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP43","1","TAPE_IN","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP44","1","TAPE_IN_RAW","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP45","1","TAPE_OUT","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP46","1","TAPE_SPD_H","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP47","1","TAPE_SPD_L","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP48","1","TAPE_MOTOR","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP49","1","CLK_768","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP50","1","A0","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP51","1","A1","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP52","1","A2","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP53","1","A3","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP54","1","A4","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP55","1","A5","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP56","1","A6","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP57","1","A7","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
